date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:33	11304/11304	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:06:56%20GMT	http://nemfa.org/FAQ_Answer.aspx?id=194	/home/jis/nemfa1/nemfa/nemfa.org/FAQ_Answerae86.html	(from http://nemfa.org/)
21:06:34	11402/11402	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:06:57%20GMT	http://nemfa.org/FAQ_Answer.aspx?id=195	/home/jis/nemfa1/nemfa/nemfa.org/FAQ_Answer29b3.html	(from http://nemfa.org/)
21:06:34	11442/11442	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:06:57%20GMT	http://nemfa.org/FAQ_Answer.aspx?id=196	/home/jis/nemfa1/nemfa/nemfa.org/FAQ_Answerdbc3.html	(from http://nemfa.org/)
21:06:35	11232/11232	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:06:58%20GMT	http://nemfa.org/FAQ_Answer.aspx?id=197	/home/jis/nemfa1/nemfa/nemfa.org/FAQ_Answer4325.html	(from http://nemfa.org/)
21:06:35	11542/11542	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:06:58%20GMT	http://nemfa.org/FAQ_Answer.aspx?id=198	/home/jis/nemfa1/nemfa/nemfa.org/FAQ_Answerc0fa.html	(from http://nemfa.org/)
21:06:36	5499/5499	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:06:59%20GMT	http://nemfa.org/emailAll.aspx	/home/jis/nemfa1/nemfa/nemfa.org/emailAll.html	(from http://nemfa.org/)
21:06:36	5957/5957	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:06:59%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=1623	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails22c3.html	(from http://nemfa.org/)
21:06:36	6949/6949	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:00%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=1625	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetailsa959.html	(from http://nemfa.org/)
21:06:37	11063/11063	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:00%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=1588	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails6904.html	(from http://nemfa.org/)
21:06:37	8695/8695	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:00%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=28	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetailsabf8.html	(from http://nemfa.org/)
21:06:37	8391/8391	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:01%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=1619	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetailsb6f7.html	(from http://nemfa.org/)
21:06:38	9743/9743	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:01%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=30	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails150c.html	(from http://nemfa.org/)
21:06:38	8148/8148	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:01%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=29	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetailsf292.html	(from http://nemfa.org/)
